topological coefficient,degree
0.011837007,158
0.016768771,157
0.015091728,155
0.012773824,155
0.019891658,154
0.0180723,154
0.017041495,154
0.016811373,153
0.020464093,152
0.012814632,152
0.012733008,152
0.013588423,151
0.012606963,151
0.024429185,150
0.012780945,149
0.011283015,149
0.025744622,148
0.015369365,146
0.012885787,145
0.0190184,144
0.016759588,144
0.015794513,144
0.011736777,144
0.019302699,143
0.017574836,143
0.015251472,143
0.012361569,143
0.02085651,142
0.018473109,141
0.015606359,141
0.015724537,140
0.016284542,139
0.01264029,139
0.026041297,138
0.018858925,138
0.016627521,138
0.015257838,138
0.011919098,138
0.020857561,137
0.018356711,136
0.01701598,136
0.016109036,135
0.014576469,135
0.028592048,134
0.028300287,134
0.012117503,134
0.011979895,134
0.02152082,133
0.018705407,133
0.014936485,133
0.012849601,133
0.016554003,132
0.013732087,132
0.026756467,131
0.021748896,131
0.017207674,131
0.02761159,130
0.017598887,130
0.016519443,130
0.015891502,130
0.018892164,129
0.028603474,128
0.026677373,128
0.021764489,128
0.020086947,128
0.017031388,128
0.015072251,128
0.014411508,128
0.010569696,128
0.019071875,127
0.018791684,127
0.017920328,127
0.017625935,127
0.01657009,127
0.014050482,127
0.012890715,127
0.018778505,126
0.017476033,126
0.016338629,126
0.01564449,126
0.014937952,126
0.027530033,125
0.015024255,125
0.015475095,124
0.01407499,124
0.013617723,124
0.015759233,123
0.013351019,123
0.017478281,122
0.017459907,122
0.016914829,122
0.015072341,122
0.012976982,122
0.030519646,121
0.025338145,121
0.018454827,121
0.015972461,121
0.029449584,120
0.019913103,120
0.018890135,120
0.017320919,120
0.016122692,120
0.026234793,119
0.021780201,119
0.01835025,119
0.016567344,119
0.016508646,119
0.014510733,119
0.023576819,118
0.016735826,118
0.014732014,118
0.03176804,117
0.029571675,117
0.026384467,117
0.016690147,117
0.027067476,116
0.019281654,116
0.014404469,116
0.031628818,115
0.027861303,115
0.024358987,115
0.017805215,115
0.023591408,114
0.020201913,114
0.024218124,113
0.019511939,113
0.019509651,113
0.015615531,113
0.025718306,112
0.018969126,112
0.01770261,112
0.0147106,112
0.013411011,112
0.01984308,111
0.017640034,111
0.015551042,111
0.014953523,111
0.031778899,110
0.028427633,110
0.023071271,110
0.015836002,110
0.013188562,110
0.031322274,109
0.026217881,109
0.022862068,109
0.019387045,109
0.018741233,109
0.016514198,109
0.015972232,109
0.013757836,109
0.022028299,108
0.018604043,108
0.01595601,108
0.021916447,107
0.020247214,107
0.019082841,107
0.01798518,107
0.016719019,107
0.016663551,107
0.015998733,107
0.030186424,106
0.024706264,106
0.02366039,106
0.021113436,106
0.019771072,106
0.019586498,106
0.018703652,106
0.018582556,106
0.018537173,106
0.016764974,106
0.030652231,105
0.026896165,105
0.021766576,105
0.034527972,104
0.025552852,104
0.022178656,104
0.018303119,104
0.016873405,104
0.016319753,104
0.035486275,103
0.01930366,103
0.018194633,103
0.017611546,103
0.015533241,103
0.029225659,102
0.021094468,102
0.017881366,102
0.016576999,102
0.011317279,102
0.027928248,101
0.023988622,101
0.020234378,101
0.019603027,101
0.021012993,100
0.020254333,100
0.017020661,100
0.015916586,100
0.022943657,99
0.021538282,99
0.021224677,99
0.018466119,99
0.014580956,99
0.03492254,98
0.029979242,98
0.026509205,98
0.025352768,98
0.017186128,98
0.017163686,98
0.017060682,98
0.016803577,98
0.01673399,98
0.016523782,98
0.023737694,97
0.020841711,97
0.020400607,97
0.019540887,97
0.018229656,97
0.018156268,97
0.016113529,97
0.015743249,97
0.028071197,96
0.024964324,96
0.024657752,96
0.021747956,96
0.021296869,96
0.019991277,96
0.0195762,96
0.018191529,96
0.017037144,96
0.032285952,95
0.027574066,95
0.027481412,95
0.017173707,95
0.027711225,94
0.024978475,94
0.024711648,94
0.022760551,94
0.021362574,94
0.020992579,94
0.020647755,94
0.018142812,94
0.02200705,93
0.018512883,93
0.017043728,93
0.016732594,93
0.033051625,92
0.024167253,92
0.020434446,92
0.020108838,92
0.020106841,92
0.018159461,92
0.017736894,92
0.033686113,91
0.031480246,91
0.02513121,91
0.023251197,91
0.034304069,90
0.033802728,90
0.030684777,90
0.023245462,90
0.022339862,90
0.019920984,90
0.019596751,90
0.019295071,90
0.018439049,90
0.016837203,90
0.015860182,90
0.035947956,89
0.029044505,89
0.022088664,89
0.022007782,89
0.02160498,89
0.021553733,89
0.021263794,89
0.017913024,89
0.015096888,89
0.025791654,88
0.022573258,88
0.022116689,88
0.019929001,88
0.019074789,88
0.033227598,87
0.029989616,87
0.028424325,87
0.027061643,87
0.025538496,87
0.025319697,87
0.025312295,87
0.023489228,87
0.020988252,87
0.020116366,87
0.019694313,87
0.019163248,87
0.019035744,87
0.018335411,87
0.018114037,87
0.014395409,87
0.032307038,86
0.02262545,86
0.033263956,85
0.027725057,85
0.025726827,85
0.021440441,85
0.020088896,85
0.036892936,84
0.031554791,84
0.030309803,84
0.024280186,84
0.02201087,84
0.020241138,84
0.029547301,83
0.025086039,83
0.024799833,83
0.02261812,83
0.020629862,83
0.020185828,83
0.018229968,83
0.039683967,82
0.034670488,82
0.027546545,82
0.025922325,82
0.025795496,82
0.025574534,82
0.023597905,82
0.022395264,82
0.021673133,82
0.020333927,82
0.02023445,82
0.019834799,82
0.034297227,81
0.0284985,81
0.027488762,81
0.025511772,81
0.025139129,81
0.022138578,81
0.021617845,81
0.020926654,81
0.020452482,81
0.039326411,80
0.031074632,80
0.029926402,80
0.029549563,80
0.02543414,80
0.023090778,80
0.022681412,80
0.01912402,80
0.041554972,79
0.034925301,79
0.033318635,79
0.032817541,79
0.030987788,79
0.030360118,79
0.026394933,79
0.025404944,79
0.022119093,79
0.021088767,79
0.021050278,79
0.020602326,79
0.019138268,79
0.031276586,78
0.031185394,78
0.023799112,78
0.020024118,78
0.037646697,77
0.032174213,77
0.029476809,77
0.028167084,77
0.02720271,77
0.026022388,77
0.025509018,77
0.025111863,77
0.022444667,77
0.020475874,77
0.018265047,77
0.038010201,76
0.03760711,76
0.037388412,76
0.037173826,76
0.028361789,76
0.027991844,76
0.027877837,76
0.023511905,76
0.022743804,76
0.020204258,76
0.019867361,76
0.01643911,76
0.034302693,75
0.028169557,75
0.02726449,75
0.026361702,75
0.026206385,75
0.024231652,75
0.02335528,75
0.02265478,75
0.021605661,75
0.021480744,75
0.020899115,75
0.034413188,74
0.032444355,74
0.031197901,74
0.029700564,74
0.028188528,74
0.026430216,74
0.025751602,74
0.02498515,74
0.024339045,74
0.022822323,74
0.03397695,73
0.032983896,73
0.030807993,73
0.029911686,73
0.029278516,73
0.025855669,73
0.022311485,73
0.045174078,72
0.034463637,72
0.031929034,72
0.029032106,72
0.02878756,72
0.028137397,72
0.027735051,72
0.026876299,72
0.025259376,72
0.025103628,72
0.022666154,72
0.021321123,72
0.020162954,72
0.036553479,71
0.033520362,71
0.031672529,71
0.022001833,71
