topological coefficient,degree
0.280797101,4
0.25965251,4
0.250980392,4
0.260245902,4
0.273480663,4
0.252906977,4
0.280991736,4
0.261732852,4
0.258032129,4
0.256578947,4
0.281100478,4
0.259259259,4
0.254617414,4
0.259353741,4
0.265625,4
0.27140411,4
0.259856631,4
0.253826531,4
0.254987531,4
0.25066313,4
0.291533546,4
0.256909548,4
0.29244186,4
0.260651629,4
0.256944444,4
0.274038462,4
0.269979508,4
0.267857143,4
0.26819407,4
0.269114688,4
0.304184549,4
0.270964361,4
0.298913043,4
0.285626536,4
0.269387755,4
0.286796537,4
0.274089936,4
0.307761733,4
0.290948276,4
0.287665563,4
0.309821429,4
0.287744227,4
0.289241623,4
0.308972504,4
0.308610709,4
0.325918079,4
0.337962963,3
0.378787879,3
0.368421053,3
0.343434343,3
0.344827586,3
0.34591195,3
0.351351351,3
0.333333333,3
0.352941176,3
0.384615385,3
0.35042735,3
0.35,3
0.351851852,3
0.355555556,3
0.398989899,3
0.354166667,3
0.357142857,3
0.385964912,3
0.366666667,3
0.352380952,3
0.341991342,3
0.37254902,3
0.391304348,3
0.414141414,3
0.369565217,3
0.361111111,3
0.355072464,3
0.352112676,3
0.344444444,3
0.341085271,3
0.376068376,3
0.375,3
0.336391437,3
0.383333333,3
0.585034014,3
0.337662338,3
0.557575758,3
0.573099415,3
0.350282486,3
0.339055794,3
0.339181287,3
0.340486409,3
0.595744681,3
0.341701534,3
0.36,3
0.353107345,3
0.336231884,3
0.350877193,3
0.348258706,3
0.357575758,3
0.364583333,3
0.335511983,3
0.337700146,3
0.354609929,3
0.358255452,3
0.346883469,3
0.355371901,3
0.344262295,3
0.37704918,3
0.353276353,3
0.342403628,3
0.338562092,3
0.340540541,3
0.353909465,3
0.338481338,3
0.3359375,3
0.347222222,3
0.345479082,3
0.358796296,3
0.349344978,3
0.347916667,3
0.354651163,3
0.337050805,3
0.340996169,3
0.349358974,3
0.350793651,3
0.355785838,3
0.346296296,3
0.345945946,3
0.338271605,3
0.378684807,3
0.361034164,3
0.366800535,3
0.347826087,3
0.336907954,3
0.339539007,3
0.341520468,3
0.336870027,3
0.340033501,3
0.3377542,3
0.37487636,3
0.334215168,3
0.34662237,3
0.338308458,3
0.346964064,3
0.354221062,3
0.335992908,3
0.355481728,3
0.335971856,3
0.335087719,3
0.345177665,3
0.34006734,3
0.380640466,3
0.345927792,3
0.352873563,3
0.357289528,3
0.372637944,3
0.354532164,3
0.336778639,3
0.348181143,3
0.343563512,3
0.345238095,3
0.348639456,3
0.339347079,3
0.34179357,3
0.347585115,3
0.335858586,3
0.34789272,3
0.347571189,3
0.359298246,3
0.379786566,3
0.347407407,3
0.380520266,3
0.372807018,3
0.413516609,3
0.40831965,3
0.411480945,3
0.526315789,2
0.538461538,2
0.6,2
0.571428571,2
0.625,2
0.5,2
0.515625,2
0.617647059,2
0.513513514,2
0.512195122,2
0.514285714,2
0.527777778,2
0.513888889,2
0.541666667,2
0.533333333,2
0.514705882,2
0.509433962,2
0.545454545,2
0.583333333,2
0.523809524,2
0.65,2
0.53030303,2
0.602941176,2
0.528571429,2
0.54,2
0.517857143,2
0.642857143,2
0.53125,2
0.567567568,2
0.554545455,2
0.529411765,2
0.516129032,2
0.555555556,2
0.506666667,2
0.510204082,2
0.511904762,2
0.517647059,2
0.58,2
0.516666667,2
0.508333333,2
0.52173913,2
0.515384615,2
0.53,2
0.506535948,2
0.534482759,2
0.508,2
0.518867925,2
0.52,2
0.509615385,2
0.504032258,2
0.547619048,2
0.503968254,2
0.606557377,2
0.532608696,2
0.511976048,2
0.505263158,2
0.510526316,2
0.505649718,2
0.543478261,2
0.511695906,2
0.534090909,2
0.510309278,2
0.514150943,2
0.522727273,2
0.518796992,2
0.508474576,2
0.505102041,2
0.504716981,2
0.891304348,2
0.512345679,2
0.504545455,2
0.502192982,2
0.502183406,2
0.506521739,2
0.504366812,2
0.503289474,2
0.504065041,2
0.542857143,2
0.571856287,2
0.517241379,2
0.516949153,2
0.525,2
0.50308642,2
0.508064516,2
0.514851485,2
0.511111111,2
0.511029412,2
0.503937008,2
0.50729927,2
0.553571429,2
0.530487805,2
0.506382979,2
0.5078125,2
0.518292683,2
0.52739726,2
0.503267974,2
0.512121212,2
0.506355932,2
0.504504505,2
0.527027027,2
0.535087719,2
0.504273504,2
0.5125,2
0.566539924,2
0.518518519,2
0.540540541,2
0.516,2
0.520618557,2
0.509090909,2
0.516393443,2
0.506329114,2
0.511538462,2
0.514112903,2
0.505928854,2
0.513409962,2
0.50984252,2
0.512987013,2
0.505836576,2
0.510080645,2
0.515151515,2
0.550632911,2
0.535555556,2
0.522058824,2
0.515337423,2
0.514534884,2
0.549180328,2
0.512820513,2
0.528735632,2
0.504132231,2
0.521634615,2
0.519434629,2
0.507874016,2
0.518218623,2
0.574013158,2
0.502680965,2
0.501340483,2
0.506684492,2
0.501333333,2
0.505333333,2
0.50795756,2
0.503989362,2
0.504,2
0.51171875,2
0.56006006,2
0.526022305,2
0.502544529,2
0.509025271,2
0.503875969,2
0.55375,2
0.509505703,2
0.524,2
0.510471204,2
0.502638522,2
0.50530504,2
0.506527415,2
0.509043928,2
0.507444169,2
0.517676768,2
0.509876543,2
0.560090703,2
0.518126888,2
0.554272517,2
0.534907598,2
0.529605263,2
0.521252796,2
0.513157895,2
0.52195122,2
0.519480519,2
0.56805293,2
0.567150635,2
